ID,Title,IMDb,Age Category,d1,d2,d3,d4
123,My Life as a Zucchini,7.8,13+,0,1,0,0
124,"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",7.7,18+,0,0,0,1
125,Barfi!,8.1,all,0,0,0,0
126,Frances Ha,7.5,18+,0,0,0,1
127,Tootsie,7.4,7+,1,0,0,0
128,Solo: A Star Wars Story,6.9,13+,0,1,0,0
129,Steve Jobs,7.2,18+,0,0,0,1
130,Tremors,7.1,13+,0,1,0,0
131,The Croods,7.2,7+,1,0,0,0
132,Locke,7.1,18+,0,0,0,1
133,Bill Burr: I'm Sorry You Feel That Way,8.4,18+,0,0,0,1
134,Starred Up,7.4,18+,0,0,0,1
135,Mudbound,7.4,18+,0,0,0,1
136,Austin Powers: International Man of Mystery,7,13+,0,1,0,0
137,Blue Ruin,7.1,18+,0,0,0,1
138,The Patriot,7.2,18+,0,0,0,1
139,Babel,7.4,18+,0,0,0,1
140,Gerald's Game,6.6,18+,0,0,0,1
141,Miracle,7.5,7+,1,0,0,0
142,Swades,8.2,all,0,0,0,0
143,Tinker Tailor Soldier Spy,7.1,18+,0,0,0,1
144,The Witch,6.9,18+,0,0,0,1
145,Haider,8.1,13+,0,1,0,0
146,Padman,7.9,13+,0,1,0,0
147,Hush,6.6,18+,0,0,0,1
148,Elizabeth,7.4,18+,0,0,0,1
149,Miss Americana,7.4,18+,0,0,0,1
150,Christopher Robin,7.3,7+,1,0,0,0
151,I Lost My Body,7.6,18+,0,0,0,1
152,I Am Mother,6.7,13+,0,1,0,0
153,Lupin the Third: The Castle of Cagliostro,7.7,7+,1,0,0,0
154,The Autopsy of Jane Doe,6.8,18+,0,0,0,1
155,Freedom Writers,7.5,13+,0,1,0,0
156,The Master,7.2,18+,0,0,0,1
157,A Serious Man,7,18+,0,0,0,1
158,The King,7.2,18+,0,0,0,1
159,The Breadwinner,7.7,13+,0,1,0,0
160,The Boy Who Harnessed the Wind,7.6,7+,1,0,0,0
161,The Killing of a Sacred Deer,7,18+,0,0,0,1
162,Lawless,7.3,18+,0,0,0,1
163,Kabhi Khushi Kabhie Gham,7.4,all,0,0,0,0
164,Charlie and the Chocolate Factory,6.6,7+,1,0,0,0
165,Freaks,6.7,18+,0,0,0,1
166,The Mask of Zorro,6.7,13+,0,1,0,0
167,The Natural,7.5,7+,1,0,0,0
168,Equilibrium,7.4,18+,0,0,0,1
169,Arthur Christmas,7.1,7+,1,0,0,0
170,The Rainmaker,7.2,13+,0,1,0,0
171,Always Be My Maybe,6.8,13+,0,1,0,0
172,The Crying Game,7.2,18+,0,0,0,1
173,War Horse,7.2,13+,0,1,0,0
174,Shot Caller,7.3,18+,0,0,0,1
175,A Most Violent Year,7,18+,0,0,0,1
176,The Other Guys,6.6,13+,0,1,0,0
177,Kapoor & Sons,7.7,13+,0,1,0,0
178,The Fundamentals of Caring,7.3,18+,0,0,0,1
179,Insidious,6.8,13+,0,1,0,0
180,Bill Burr: Paper Tiger,8.2,18+,0,0,0,1
181,Bad Boys,6.9,18+,0,0,0,1
182,The Foreigner,7,18+,0,0,0,1
183,The Danish Girl,7.1,18+,0,0,0,1
184,The Girl with All the Gifts,6.6,18+,0,0,0,1
185,Bird Box,6.6,18+,0,0,0,1
186,The Ring,7.1,13+,0,1,0,0
187,Hostiles,7.2,18+,0,0,0,1
188,Trumbo,7.5,18+,0,0,0,1
189,LA 92,8.2,18+,0,0,0,1
190,20th Century Women,7.3,18+,0,0,0,1
191,Kal Ho Naa Ho,8,all,0,0,0,0
192,Swiss Army Man,7,18+,0,0,0,1
193,In This Corner of the World,7.8,13+,0,1,0,0
194,A Ghost Story,6.9,18+,0,0,0,1
195,United 93,7.5,18+,0,0,0,1
196,Patriot Games,6.9,18+,0,0,0,1
197,The Secret Life of Pets 2,6.5,7+,1,0,0,0
198,Hitch,6.6,13+,0,1,0,0
