ID,Title,IMDb,Age Category,d1,d2,d3,d4
1284,Leaning Into the Wind: Andy Goldsworthy,6.7,7+,1,0,0,0
1285,Case 39,6.2,18+,0,0,0,1
1286,The X Files: I Want to Believe,5.9,13+,0,1,0,0
1287,The Gospel According to AndrÃ©,6.3,13+,0,1,0,0
1288,A Good Old Fashioned Orgy,6.1,18+,0,0,0,1
1289,Children of the Corn,5.7,18+,0,0,0,1
1290,Friday the 13th: The Final Chapter,6,18+,0,0,0,1
1291,Ballet 422,6.2,7+,1,0,0,0
1292,Where Hands Touch,6.2,13+,0,1,0,0
1293,Flower,6,18+,0,0,0,1
1294,All Square,5.8,18+,0,0,0,1
1295,Wonder Park,5.8,7+,1,0,0,0
1296,Go Tigers!,7.2,18+,0,0,0,1
1297,The Tall Man,5.9,18+,0,0,0,1
1298,Scenic Route,6.5,18+,0,0,0,1
1299,What Men Want,5.2,18+,0,0,0,1
1300,A Crooked Somebody,6.2,18+,0,0,0,1
1301,The Kid,5.9,18+,0,0,0,1
1302,The Beach Bum,5.5,18+,0,0,0,1
1303,The Whistle Blower,6.2,7+,1,0,0,0
1304,Wild Card,5.6,18+,0,0,0,1
1305,Ã†on Flux,5.4,13+,0,1,0,0
1306,Brick Mansions,5.7,13+,0,1,0,0
1307,Planet 51,6,7+,1,0,0,0
1308,Padre nuestro,6.9,18+,0,0,0,1
1309,Run the Race,5.9,7+,1,0,0,0
1310,Beyond the Gates,5.2,13+,0,1,0,0
1311,House of D,7,13+,0,1,0,0
1312,Changeland,5.7,18+,0,0,0,1
1313,Digging for Fire,5.8,18+,0,0,0,1
1314,Before We Vanish,6,18+,0,0,0,1
1315,Damsel,5.5,18+,0,0,0,1
1316,Conan the Barbarian,5.2,18+,0,0,0,1
1317,Cantinflas,6.5,7+,1,0,0,0
1318,Madea's Big Happy Family,4.7,13+,0,1,0,0
1319,Free Birds,5.9,7+,1,0,0,0
1320,Righteous Kill,6,18+,0,0,0,1
1321,I Still See You,5.8,13+,0,1,0,0
1322,Men with Brooms,5.7,18+,0,0,0,1
1323,Foxfire,6.2,18+,0,0,0,1
1324,Star Trek V: The Final Frontier,5.5,7+,1,0,0,0
1325,UglyDolls,4.9,7+,1,0,0,0
1326,Acrimony,5.8,18+,0,0,0,1
1327,Friday the 13th Part III,5.7,18+,0,0,0,1
1328,Fun in Acapulco,5.9,7+,1,0,0,0
1329,0.098611111,5.8,13+,0,1,0,0
1330,The Cleanse,5.3,18+,0,0,0,1
1331,10x10,5,18+,0,0,0,1
1332,The Reagan Show,6.4,7+,1,0,0,0
1333,Permanent,5.5,13+,0,1,0,0
1334,Walking with the Enemy,6.4,13+,0,1,0,0
1335,Crash Pad,5.7,18+,0,0,0,1
1336,Abduction,5.1,13+,0,1,0,0
1337,The Big Wedding,5.6,18+,0,0,0,1
1338,Spinning Man,5.6,18+,0,0,0,1
1339,Golden Exits,5.8,18+,0,0,0,1
1340,Madea's Witness Protection,4.9,13+,0,1,0,0
1341,Playing It Cool,6,18+,0,0,0,1
1342,The Pink Panther 2,5.6,7+,1,0,0,0
1343,Phoenix Forgotten,5.3,13+,0,1,0,0
1344,Texas Chainsaw 3D,4.8,18+,0,0,0,1
1345,American Folk,6.1,7+,1,0,0,0
1346,The Alchemist Cookbook,5.1,18+,0,0,0,1
1347,"I, Frankenstein",5.1,13+,0,1,0,0
1348,Free Willy 2: The Adventure Home,5.1,7+,1,0,0,0
1349,Running with the Devil,5.4,18+,0,0,0,1
1350,Bolden,5.6,18+,0,0,0,1
1351,Sherlock Gnomes,5.2,7+,1,0,0,0
1352,Cruise,5.3,18+,0,0,0,1
1353,Distorted,4.9,18+,0,0,0,1
1354,The Numbers Station,5.6,18+,0,0,0,1
1355,In a Relationship,5.5,18+,0,0,0,1
1356,Legendary,6.2,13+,0,1,0,0
1357,And So It Goes,5.8,13+,0,1,0,0
1358,6 Below: Miracle on the Mountain,5.7,13+,0,1,0,0
1359,Tamara,5.1,18+,0,0,0,1
1360,Grace Jones: Bloodlight and Bami,6.2,7+,1,0,0,0
1361,Racer and the Jailbird,6.3,18+,0,0,0,1
1362,Romeo & Juliet,5.8,13+,0,1,0,0
1363,Fun Size,5.4,13+,0,1,0,0
1364,Black Gold,6.7,18+,0,0,0,1
1365,A Kind of Murder,5.3,18+,0,0,0,1
1366,Free Willy 3: The Rescue,4.7,7+,1,0,0,0
1367,Nobody's Fool,4.8,18+,0,0,0,1
1368,Once Upon a Time in Venice,5.3,18+,0,0,0,1
1369,The Tomorrow Man,5.7,13+,0,1,0,0
1370,Half Magic,4.6,18+,0,0,0,1
1371,Bangkok Dangerous,5.4,18+,0,0,0,1
1372,XX/XY,5.9,18+,0,0,0,1
1373,Girl Most Likely,5.8,13+,0,1,0,0
1374,ma ma,6.4,18+,0,0,0,1
1375,Body at Brighton Rock,5.3,18+,0,0,0,1
1376,The Strange Ones,5,18+,0,0,0,1
1377,Legends of Oz: Dorothy's Return,5.1,7+,1,0,0,0
1378,Black Rock,4.7,18+,0,0,0,1
1379,The Boost,6.1,18+,0,0,0,1
1380,Manglehorn,5.6,13+,0,1,0,0
1381,Dr. T & the Women,4.6,18+,0,0,0,1
1382,Assassination Tango,5.8,18+,0,0,0,1
1383,Casa de los Babys,6.3,18+,0,0,0,1
1384,Serena,5.4,18+,0,0,0,1
1385,Blind,5.8,18+,0,0,0,1
1386,Sprung,5,18+,0,0,0,1
1387,Most Likely to Murder,5.1,18+,0,0,0,1
1388,Raze,5.2,18+,0,0,0,1
1389,The Thousand Faces of Dunjia,5.4,7+,1,0,0,0
1390,Damascus Cover,5.1,18+,0,0,0,1
1391,The Dinner,4.5,18+,0,0,0,1
1392,A Madea Family Funeral,4.4,13+,0,1,0,0
1393,Breakup at a Wedding,5.1,13+,0,1,0,0
1394,Action Point,5.1,18+,0,0,0,1
1395,Some Kind of Hero,5.8,18+,0,0,0,1
1396,Repentance,4.9,18+,0,0,0,1
1397,Ismael's Ghosts,5.6,18+,0,0,0,1
1398,American Gun,6.1,18+,0,0,0,1
1399,Silent Tongue,5.3,13+,0,1,0,0
1400,Along Came the Devil,3.9,16+,0,0,1,0
1401,Coastlines,5.8,18+,0,0,0,1
1402,Wounds,4,18+,0,0,0,1
1403,Getaway,4.4,13+,0,1,0,0
1404,"Literally, Right Before Aaron",4.5,16+,0,0,1,0
1405,Out of the Dark,4.8,18+,0,0,0,1
1406,The ChÃ¢teau,5.2,18+,0,0,0,1
1407,The Other Man,5.4,18+,0,0,0,1
1408,No Holds Barred,4.4,13+,0,1,0,0
1409,The Reunion,5.2,13+,0,1,0,0
1410,The Intended,5.8,18+,0,0,0,1
1411,The Eternal,4.4,18+,0,0,0,1
1412,Backtrace,3.7,18+,0,0,0,1
1413,Ghost Team,4.6,13+,0,1,0,0
1414,Inside Out,4.5,13+,0,1,0,0
1415,This One's for the Ladies,4.8,18+,0,0,0,1
1416,Beneath the Darkness,4.5,18+,0,0,0,1
1417,The Avengers,8,13+,0,1,0,0
1418,It's a Wonderful Life,8.6,7+,1,0,0,0
1419,Downfall,8.2,18+,0,0,0,1
1420,Airplane!,7.7,7+,1,0,0,0
1421,Rosemary's Baby,8,18+,0,0,0,1
1422,Amores Perros,8.1,18+,0,0,0,1
1423,Lady Bird,7.4,18+,0,0,0,1
1424,Roman Holiday,8,all,0,0,0,0
1425,The Girl with the Dragon Tattoo,7.8,18+,0,0,0,1
1426,The Big Sick,7.5,18+,0,0,0,1
1427,Manchester by the Sea,7.8,18+,0,0,0,1
1428,The Man from Nowhere,7.8,18+,0,0,0,1
1429,Short Term 12,8,18+,0,0,0,1
1430,Thor,7,13+,0,1,0,0
1431,Captain America: The First Avenger,6.9,13+,0,1,0,0
1432,Night of the Living Dead,7.9,18+,0,0,0,1
1433,The Machinist,7.7,18+,0,0,0,1
1434,The Conversation,7.8,7+,1,0,0,0
1435,The Disaster Artist,7.4,18+,0,0,0,1
1436,Iron Man 2,7,13+,0,1,0,0
1437,Pi,7.4,18+,0,0,0,1
1438,The Lighthouse,7.6,18+,0,0,0,1
1439,The Farewell,7.6,7+,1,0,0,0
1440,The Wailing,7.5,18+,0,0,0,1
1441,A Trip to the Moon,8.2,all,0,0,0,0
1442,The Cabinet of Dr. Caligari,8.1,7+,1,0,0,0
1443,Charade,7.9,13+,0,1,0,0
1444,Apocalypto,7.8,18+,0,0,0,1
1445,Eighth Grade,7.4,18+,0,0,0,1
1446,Hereditary,7.3,18+,0,0,0,1
1447,Temple Grandin,8.3,7+,1,0,0,0
1448,The Lincoln Lawyer,7.3,18+,0,0,0,1
1449,His Girl Friday,7.9,7+,1,0,0,0
1450,Logan Lucky,7,13+,0,1,0,0
1451,Leave No Trace,7.2,7+,1,0,0,0
1452,Harold and Maude,7.9,7+,1,0,0,0
1453,The Man Who Shot Liberty Valance,8.1,13+,0,1,0,0
1454,Escape from New York,7.2,18+,0,0,0,1
1455,Mississippi Burning,7.8,18+,0,0,0,1
1456,Inside Llewyn Davis,7.5,18+,0,0,0,1
1457,The African Queen,7.7,7+,1,0,0,0
1458,Pride,7.8,18+,0,0,0,1
1459,Chak De! India,8.2,7+,1,0,0,0
1460,Dead Man Walking,7.5,18+,0,0,0,1
1461,Grizzly Man,7.8,18+,0,0,0,1
1462,A Man Called Ove,7.7,13+,0,1,0,0
1463,The Imposter,7.5,18+,0,0,0,1
1464,Capote,7.3,18+,0,0,0,1
1465,Midsommar,7.1,18+,0,0,0,1
1466,Deep Red,7.6,18+,0,0,0,1
1467,The Salesman,7.8,13+,0,1,0,0
1468,3-Iron,8,18+,0,0,0,1
1469,To Catch a Thief,7.4,7+,1,0,0,0
1470,Queen,8.2,13+,0,1,0,0
1471,Samsara,8.5,13+,0,1,0,0
1472,The Discreet Charm of the Bourgeoisie,7.9,7+,1,0,0,0
1473,The Hours,7.5,13+,0,1,0,0
1474,Seven Psychopaths,7.2,18+,0,0,0,1
1475,For Sama,8.5,7+,1,0,0,0
1476,Bridget Jones's Diary,6.7,18+,0,0,0,1
1477,The Last Waltz,8.2,7+,1,0,0,0
1478,Lars and the Real Girl,7.3,13+,0,1,0,0
1479,The Look of Silence,8.3,13+,0,1,0,0
1480,Cold War,7.6,18+,0,0,0,1
1481,Honey Boy,7.3,18+,0,0,0,1
1482,Veer-Zaara,7.8,7+,1,0,0,0
1483,The Virgin Suicides,7.2,18+,0,0,0,1
1484,Paterson,7.4,18+,0,0,0,1
1485,Fiddler on the Roof,8,all,0,0,0,0
1486,The Return of the Living Dead,7.3,18+,0,0,0,1
1487,The Long Goodbye,7.6,18+,0,0,0,1
1488,Black Book,7.7,18+,0,0,0,1
1489,Legends of the Fall,7.6,18+,0,0,0,1
1490,Clue,7.3,7+,1,0,0,0
1491,mid90s,7.4,18+,0,0,0,1
1492,My Name Is Nobody,7.5,7+,1,0,0,0
1493,Highlander,7.1,18+,0,0,0,1
1494,The Italian Job,7.3,all,0,0,0,0
1495,I Am Not Your Negro,7.8,18+,0,0,0,1
1496,The Ghost Writer,7.2,13+,0,1,0,0
1497,The Birdcage,7.1,18+,0,0,0,1
1498,Murder on the Orient Express,7.3,7+,1,0,0,0
1499,The Boondock Saints,7.8,18+,0,0,0,1
1500,Miss Sloane,7.5,18+,0,0,0,1
1501,Ernest & Celestine,7.9,7+,1,0,0,0
1502,You Were Never Really Here,6.8,18+,0,0,0,1
1503,Moonstruck,7.1,7+,1,0,0,0
1504,The Proposition,7.4,18+,0,0,0,1
1505,Fist of Fury,7.4,18+,0,0,0,1
1506,Fitzcarraldo,8.1,7+,1,0,0,0
1507,You Can Count on Me,7.5,18+,0,0,0,1
1508,Arctic,6.8,13+,0,1,0,0
1509,Midnight Special,6.6,13+,0,1,0,0
1510,First Reformed,7.1,18+,0,0,0,1
1511,Meru,7.7,18+,0,0,0,1
1512,The Report,7.2,18+,0,0,0,1
1513,The Sweet Hereafter,7.5,18+,0,0,0,1
1514,Dead Ringers,7.3,18+,0,0,0,1
1515,Triangle,6.9,18+,0,0,0,1
1516,Gallipoli,7.4,7+,1,0,0,0
1517,Terms of Endearment,7.4,7+,1,0,0,0
1518,Pretty in Pink,6.8,13+,0,1,0,0
1519,The Kings of Summer,7.1,18+,0,0,0,1
1520,if....,7.5,18+,0,0,0,1
1521,Beautiful Boy,7.3,18+,0,0,0,1
1522,Hard Eight,7.2,18+,0,0,0,1
1523,Ginger Snaps,6.8,18+,0,0,0,1
1524,Robot & Frank,7.1,13+,0,1,0,0
1525,Salyut-7,7.2,13+,0,1,0,0
1526,The Last Black Man in San Francisco,7.3,18+,0,0,0,1
1527,Adam's Apples,7.8,18+,0,0,0,1
1528,Gia,7,18+,0,0,0,1
1529,And the Band Played On,7.8,13+,0,1,0,0
1530,Hellraiser,7,18+,0,0,0,1
1531,Air Force One,6.5,18+,0,0,0,1
1532,Get the Gringo,7,18+,0,0,0,1
1533,Eat Drink Man Woman,7.8,13+,0,1,0,0
1534,Big Night,7.3,18+,0,0,0,1
1535,Mahanati,8.5,7+,1,0,0,0
1536,Reds,7.3,7+,1,0,0,0
1537,Bernie,6.8,13+,0,1,0,0
1538,Dog Soldiers,6.8,18+,0,0,0,1
1539,The Aeronauts,6.6,13+,0,1,0,0
1540,The Lost City of Z,6.6,13+,0,1,0,0
1541,Rab Ne Bana Di Jodi,7.2,7+,1,0,0,0
1542,Soldier's Girl,7.9,18+,0,0,0,1
1543,The Endless Summer,7.7,7+,1,0,0,0
1544,Laurence Anyways,7.7,13+,0,1,0,0
1545,The Snowman,8.2,all,0,0,0,0
1546,A Bridge Too Far,7.4,7+,1,0,0,0
1547,Murderball,7.7,18+,0,0,0,1
1548,Wake in Fright,7.7,18+,0,0,0,1
1549,A Most Wanted Man,6.8,18+,0,0,0,1
1550,The Girl Who Played with Fire,7.2,18+,0,0,0,1
1551,Frantz,7.5,13+,0,1,0,0
1552,Runaway Train,7.2,18+,0,0,0,1
1553,Invisible Life,7.9,18+,0,0,0,1
1554,House of Sand and Fog,7.5,18+,0,0,0,1
1555,Behind the Candelabra,7,18+,0,0,0,1
1556,Fanaa,7.2,7+,1,0,0,0
1557,Brittany Runs a Marathon,6.8,18+,0,0,0,1
1558,What Maisie Knew,7.4,18+,0,0,0,1
1559,Citizen X,7.5,18+,0,0,0,1
1560,Some Kind of Wonderful,7.1,13+,0,1,0,0
1561,The Phantom of the Opera,7.6,13+,0,1,0,0
1562,Heidi,7.4,all,0,0,0,0
1563,Better Watch Out,6.5,18+,0,0,0,1
1564,What If,6.8,13+,0,1,0,0
1565,Truman,7.3,16+,0,0,1,0
1566,Marshall,7.2,13+,0,1,0,0
1567,McQueen,7.8,18+,0,0,0,1
1568,The Band's Visit,7.5,13+,0,1,0,0
1569,One Day in September,7.8,18+,0,0,0,1
1570,The Doors,7.2,18+,0,0,0,1
1571,One Child Nation,7.5,18+,0,0,0,1
1572,A Prayer Before Dawn,6.9,18+,0,0,0,1
1573,The Pink Panther Strikes Again,7.2,7+,1,0,0,0
1574,Disobedience,6.6,18+,0,0,0,1
1575,Transsiberian,6.7,18+,0,0,0,1
1576,Climax,7.1,18+,0,0,0,1
1577,House of Games,7.3,18+,0,0,0,1
1578,Gleason,8.4,18+,0,0,0,1
1579,Priceless,7,13+,0,1,0,0
1580,The Crazies,6.5,18+,0,0,0,1
1581,Late Night,6.5,18+,0,0,0,1
1582,Atlantic City,7.3,18+,0,0,0,1
1583,Blow the Man Down,6.4,18+,0,0,0,1
1584,Suspiria,6.8,18+,0,0,0,1
1585,King of New York,7,18+,0,0,0,1
1586,Threeâ€¦ Extremes,7,18+,0,0,0,1
1587,Carnival of Souls,7.1,7+,1,0,0,0
1588,The Whistleblower,7.1,18+,0,0,0,1
1589,Opera,7,18+,0,0,0,1
1590,The Tillman Story,7.7,18+,0,0,0,1
1591,Dhoom 2,6.5,13+,0,1,0,0
1592,Lean on Pete,7.2,18+,0,0,0,1
1593,Harry Brown,7.2,18+,0,0,0,1
1594,The Girl Who Kicked the Hornet's Nest,7.3,18+,0,0,0,1
1595,Ghost Town,6.7,13+,0,1,0,0
1596,Friday the 13th,6.5,18+,0,0,0,1
1597,He Loves Meâ€¦ He Loves Me Not,7.2,13+,0,1,0,0
1598,Birdy,7.3,18+,0,0,0,1
1599,The Secret of Roan Inish,7.5,7+,1,0,0,0
1600,Death of a Salesman,7.3,7+,1,0,0,0
1601,Who Killed the Electric Car?,7.6,7+,1,0,0,0
1602,Breakdown,6.9,18+,0,0,0,1
1603,The House of the Devil,6.4,18+,0,0,0,1
1604,Unsane,6.4,18+,0,0,0,1
1605,Waco: The Rules of Engagement,7.9,13+,0,1,0,0
1606,Dead Snow 2: Red vs. Dead,6.9,18+,0,0,0,1
1607,Magic Mike,6.1,18+,0,0,0,1
1608,Colette,6.7,18+,0,0,0,1
1609,Life According to Sam,8.2,all,0,0,0,0
1610,Draft Day,6.8,13+,0,1,0,0
1611,Capitalism: A Love Story,7.4,18+,0,0,0,1
1612,Papillon,7.2,18+,0,0,0,1
1613,"Don't Worry, He Won't Get Far on Foot",6.9,18+,0,0,0,1
1614,4 Little Girls,7.8,16+,0,0,1,0
1615,Jay and Silent Bob Reboot,5.8,18+,0,0,0,1
1616,Phantasm,6.8,18+,0,0,0,1
1617,Dark Water,6.7,13+,0,1,0,0
1618,Southern Comfort,7.2,18+,0,0,0,1
1619,The Snow Walker,7.3,7+,1,0,0,0
1620,Braven,6,18+,0,0,0,1
1621,Sunshine Cleaning,6.8,18+,0,0,0,1
1622,The Woman in Black,6.4,13+,0,1,0,0
1623,Rambo: Last Blood,6.2,18+,0,0,0,1
1624,I've Loved You So Long,7.6,13+,0,1,0,0
1625,Behind the Mask: The Rise of Leslie Vernon,6.7,18+,0,0,0,1
1626,These Final Hours,6.7,18+,0,0,0,1
1627,A Private War,6.7,18+,0,0,0,1
1628,Fateless,6.9,18+,0,0,0,1
1629,The Man Who Fell to Earth,6.7,18+,0,0,0,1
1630,The Monster Squad,7.1,13+,0,1,0,0
1631,Passion Fish,7.4,18+,0,0,0,1
1632,7 Boxes,7.1,16+,0,0,1,0
1633,Embrace,7.2,7+,1,0,0,0
1634,Rosencrantz & Guildenstern Are Dead,7.5,7+,1,0,0,0
1635,Love & Friendship,6.4,13+,0,1,0,0
1636,Phenomena,6.8,18+,0,0,0,1
1637,Grey Gardens,7.4,7+,1,0,0,0
1638,Macbeth,6.6,18+,0,0,0,1
1639,Danny Collins,7,18+,0,0,0,1
1640,Too Big to Fail,7.3,18+,0,0,0,1
1641,Bad Taste,6.6,18+,0,0,0,1
1642,Ballet Shoes,6.6,7+,1,0,0,0
1643,Charlie Bartlett,7,18+,0,0,0,1
1644,My Friend Dahmer,6.2,18+,0,0,0,1
1645,The Panama Papers,7.2,13+,0,1,0,0
1646,Explorers,6.6,7+,1,0,0,0
1647,"A Time to Live, a Time to Die",7.7,7+,1,0,0,0
1648,Janis: Little Girl Blue,7.4,18+,0,0,0,1
1649,Fat City,7.3,7+,1,0,0,0
1650,The Dressmaker,7.1,18+,0,0,0,1
1651,Last Flag Flying,6.9,18+,0,0,0,1
1652,The Ninth Gate,6.7,18+,0,0,0,1
1653,A Town Called Panic,7.5,7+,1,0,0,0
1654,Sweet Country,6.9,18+,0,0,0,1
1655,Game Change,7.4,18+,0,0,0,1
1656,Penelope,6.7,7+,1,0,0,0
1657,Igby Goes Down,6.9,18+,0,0,0,1
1658,The Decline of Western Civilization Part II: The Metal Years,7.2,18+,0,0,0,1
1659,"Jeff, Who Lives at Home",6.5,18+,0,0,0,1
1660,The Little Princess,7.2,all,0,0,0,0
1661,Bilal: A New Breed of Hero,7.9,13+,0,1,0,0
1662,The War Zone,7.3,18+,0,0,0,1
1663,The Party,6.6,18+,0,0,0,1
1664,Stake Land,6.5,18+,0,0,0,1
1665,I Dream in Another Language,7.4,18+,0,0,0,1
1666,Alive Inside,8.2,7+,1,0,0,0
1667,The Gathering Storm,7.5,all,0,0,0,0
1668,The Hospital,7.2,13+,0,1,0,0
1669,Like Crazy,6.7,13+,0,1,0,0
1670,Journey's End,6.6,18+,0,0,0,1
1671,Internal Affairs,6.5,18+,0,0,0,1
1672,Changing Lanes,6.4,18+,0,0,0,1
1673,Longford,7.6,18+,0,0,0,1
1674,Nas: Time Is Illmatic,7.1,16+,0,0,1,0
1675,Agora,7.2,13+,0,1,0,0
1676,The Dresser,7.6,7+,1,0,0,0
1677,CafÃ© Society,6.6,13+,0,1,0,0
1678,Trees Lounge,7.1,18+,0,0,0,1
1679,Suburbia,7,18+,0,0,0,1
1680,Raising Victor Vargas,7.2,18+,0,0,0,1
1681,Milius,7.5,7+,1,0,0,0
1682,City of Ghosts,7.4,18+,0,0,0,1
1683,The First Time,6.8,13+,0,1,0,0
1684,Danger Close,6.9,18+,0,0,0,1
1685,Troop Zero,6.9,7+,1,0,0,0
1686,Salmon Fishing in the Yemen,6.8,13+,0,1,0,0
1687,Battle of Britain,7,all,0,0,0,0
1688,Mr. Six,7,13+,0,1,0,0
1689,Blood and Black Lace,7.2,18+,0,0,0,1
1690,Jin-Roh: The Wolf Brigade,7.4,18+,0,0,0,1
1691,The Tuskegee Airmen,7.1,13+,0,1,0,0
1692,The Laramie Project,7.2,16+,0,0,1,0
1693,Support Your Local Sheriff,7.5,all,0,0,0,0
1694,Burn Notice: The Fall of Sam Axe,7.2,7+,1,0,0,0
1695,The Plague Dogs,7.8,13+,0,1,0,0
1696,Valentine Road,7.1,16+,0,0,1,0
1697,Wendy and Lucy,7.1,18+,0,0,0,1
1698,Rat Race,6.4,13+,0,1,0,0
1699,Rivers and Tides,7.9,all,0,0,0,0
1700,Light of My Life,6.6,18+,0,0,0,1
1701,Beneath Hill 60,7.1,18+,0,0,0,1
1702,Naked Gun 33â…“: The Final Insult,6.5,13+,0,1,0,0
1703,Recount,7.4,18+,0,0,0,1
1704,Dragonslayer,6.7,7+,1,0,0,0
1705,Lawn Dogs,7.5,18+,0,0,0,1
1706,The Flowers of War,7.6,18+,0,0,0,1
1707,Reefer Madness: The Movie Musical,7.1,18+,0,0,0,1
1708,Mardaani,7.3,13+,0,1,0,0
1709,Thin,7.4,13+,0,1,0,0
1710,California Split,7.2,18+,0,0,0,1
1711,Out of Time,6.5,18+,0,0,0,1
1712,Tales of the Grim Sleeper,7,18+,0,0,0,1
1713,Fahrenheit 11/9,6.9,18+,0,0,0,1
1714,Gimme Danger,7.2,18+,0,0,0,1
1715,Salaam Namaste,6.2,7+,1,0,0,0
1716,D.O.A.,7.3,all,0,0,0,0
1717,The Long Riders,7,18+,0,0,0,1
1718,Kill the Irishman,7.1,18+,0,0,0,1
1719,Rocket Singh: Salesman of the Year,7.5,13+,0,1,0,0
1720,Mr. Mom,6.5,7+,1,0,0,0
1721,Gozu,7,18+,0,0,0,1
1722,Blood Brother,8.3,7+,1,0,0,0
1723,The Falcon and the Snowman,6.8,18+,0,0,0,1
1724,Miss Granny,7.3,13+,0,1,0,0
1725,Eye of the Needle,7.1,18+,0,0,0,1
1726,Avanti!,7.2,18+,0,0,0,1
1727,A Girl Like Her,7,13+,0,1,0,0
1728,Cries from Syria,8.1,18+,0,0,0,1
1729,Still Mine,7.4,13+,0,1,0,0
1730,Why We Fight,8,13+,0,1,0,0
1731,Bill & Ted's Bogus Journey,6.3,7+,1,0,0,0
1732,Bones Brigade: An Autobiography,8.1,18+,0,0,0,1
1733,The Young and Prodigious T.S. Spivet,7.1,all,0,0,0,0
1734,Your Vice Is a Locked Room and Only I Have the Key,6.8,18+,0,0,0,1
1735,Sign 'o' The Times,8.1,13+,0,1,0,0
1736,Ghosts of Abu Ghraib,7.8,18+,0,0,0,1
1737,The Connection,7.1,18+,0,0,0,1
1738,The Birth of a Nation,6.4,7+,1,0,0,0
1739,The Decline of the American Empire,7.2,18+,0,0,0,1
1740,Guava Island,6.7,18+,0,0,0,1
1741,The Kentucky Fried Movie,6.5,18+,0,0,0,1
1742,The Ninth Configuration,7,18+,0,0,0,1
1743,Fast Color,6,13+,0,1,0,0
1744,An American Crime,7.3,18+,0,0,0,1
1745,Dick Tracy,6.1,7+,1,0,0,0
1746,Alamar,7.3,all,0,0,0,0
1747,Coffy,6.8,18+,0,0,0,1
1748,We Are Legion: The Story of the Hacktivists,7.3,7+,1,0,0,0
1749,Ashes of Time,7.2,18+,0,0,0,1
1750,Casting By,7.6,16+,0,0,1,0
1751,The Island,7.9,13+,0,1,0,0
1752,Neds,7,16+,0,0,1,0
1753,The Cutting Edge,6.9,7+,1,0,0,0
1754,Meet the Patels,7.2,7+,1,0,0,0
1755,F/X,6.7,18+,0,0,0,1
1756,Sui Dhaaga - Made in India,6.8,7+,1,0,0,0
1757,The True Cost,7.7,13+,0,1,0,0
1758,Liquid Sky,6.2,18+,0,0,0,1
1759,The Hole in the Ground,5.7,18+,0,0,0,1
1760,The Ghazi Attack,7.6,7+,1,0,0,0
1761,The Night Eats the World,6,16+,0,0,1,0
1762,I Capture the Castle,6.9,18+,0,0,0,1
1763,Badrinath Ki Dulhania,6.2,7+,1,0,0,0
1764,White Sun,7.1,7+,1,0,0,0
1765,What's in a Name,7.3,7+,1,0,0,0
1766,Bully,6.9,18+,0,0,0,1
1767,Another Country,7.1,7+,1,0,0,0
1768,The Decline of Western Civilization Part III,7.1,18+,0,0,0,1
1769,The Midnight Meat Train,6.1,18+,0,0,0,1
1770,The Living Dead at Manchester Morgue,6.8,18+,0,0,0,1
1771,Nothing Sacred,6.9,all,0,0,0,0
1772,10 Rillington Place,7.6,7+,1,0,0,0
1773,The Man in the Iron Mask,6.5,13+,0,1,0,0
1774,High Life,5.8,18+,0,0,0,1
1775,Under the Silver Lake,6.5,18+,0,0,0,1
1776,Breakfast on Pluto,7.2,18+,0,0,0,1
1777,The Big Easy,6.5,18+,0,0,0,1
1778,Finders Keepers,6.8,18+,0,0,0,1
1779,After Tiller,7.5,13+,0,1,0,0
1780,You're Not You,7.3,18+,0,0,0,1
1781,Gideon's Army,7.7,7+,1,0,0,0
1782,That Sugar Film,7.5,7+,1,0,0,0
1783,Meatballs,6.2,7+,1,0,0,0
1784,Morvern Callar,6.8,18+,0,0,0,1
1785,Trouble Is My Business,6,7+,1,0,0,0
1786,Cockfighter,7.1,18+,0,0,0,1
1787,The Soloist,6.7,13+,0,1,0,0
1788,Class of 1984,6.6,18+,0,0,0,1
1789,On the Edge,7,18+,0,0,0,1
1790,Electrick Children,6.8,18+,0,0,0,1
1791,East Side Sushi,7.1,7+,1,0,0,0
1792,The First Great Train Robbery,6.9,7+,1,0,0,0
1793,Conversations with Other Women,7,18+,0,0,0,1
1794,Intact,6.9,18+,0,0,0,1
1795,Apostasy,6.8,16+,0,0,1,0
1796,James White,7.1,18+,0,0,0,1
1797,Images,7.1,18+,0,0,0,1
1798,Next,6.2,13+,0,1,0,0
1799,Grave Encounters,6.1,18+,0,0,0,1
1800,Spun,6.8,18+,0,0,0,1
1801,Flight of the Butterflies,6.9,all,0,0,0,0
1802,This Beautiful Fantastic,6.9,7+,1,0,0,0
1803,In the Soup,7.1,18+,0,0,0,1
1804,A Late Quartet,7.1,18+,0,0,0,1
1805,Inferno,6.6,18+,0,0,0,1
1806,Frequently Asked Questions About Time Travel,7.1,13+,0,1,0,0
1807,The Vanishing,5.8,18+,0,0,0,1
1808,Antarctica: A Year on Ice,7.6,7+,1,0,0,0
1809,The Ultimate Gift,7.3,7+,1,0,0,0
1810,What Have You Done to Solange?,7,18+,0,0,0,1
1811,Alice Sweet Alice,6.5,18+,0,0,0,1
1812,To End All Wars,7,18+,0,0,0,1
1813,Lila Says,6.9,18+,0,0,0,1
1814,Admiral,7,7+,1,0,0,0
1815,Bunty Aur Babli,6.2,7+,1,0,0,0
1816,Fear of a Black Hat,7.2,18+,0,0,0,1
